user_id,registered_dttm,male_flag,moscow_flag,age,first_name,last_name,middle_name
75037,2023-05-30 01:48:26,0,0,27,Tatiana,Morozov,89854735331
86321,2023-05-30 03:15:26,1,0,30,Ilya,Volkov,89853583401
45165,2023-05-30 03:30:09,1,0,26,Andrey,Pavlov,89852038085
73252,2023-05-30 04:58:02,1,1,31,Ilya,Golubev,89855768354
29305,2023-05-30 09:26:57,1,0,31,Ilya,Kiselev,89854050963
95904,2023-05-30 09:47:41,1,1,25,Alexey,Baranov,89857624139
77968,2023-05-30 10:02:29,1,0,27,Alexey,Kudryavtsev,89855509428
43529,2023-05-30 13:33:59,0,1,29,Maria,Kiselev,89851858735
87977,2023-05-30 17:47:43,0,0,18,Anna,Vinogradov,89855756084
10910,2023-05-30 17:59:52,1,0,28,Alexander,Borisov,89853394642
50848,2023-05-30 18:25:48,1,1,34,Alexey,Fedorov,89853066074
56060,2023-05-30 21:48:29,1,0,22,Maxim,Petrov,89856476469
42447,2023-05-30 23:10:53,1,0,30,Sergey,Ilyin,89858485223
18897,2023-05-31 02:09:10,1,0,27,Alexander,Pavlov,89857383925
40669,2023-05-31 02:34:00,1,0,36,Dmitry,Baranov,89852855480
72393,2023-05-31 07:41:03,1,1,30,Mikhail,Petrov,89859940551
40567,2023-05-31 11:35:51,1,0,29,Alexey,Borisov,89851912879
35891,2023-05-31 12:51:04,0,0,29,Anna,Grigoryev,89856228034
57398,2023-05-31 15:02:13,1,1,32,Alexander,Vinogradov,89858265074
90049,2023-05-31 15:11:00,1,0,36,Sergey,Pavlov,89850359775
15906,2023-05-31 23:45:38,0,0,28,Elena,Gusev,89852162254
65463,2023-06-01 04:49:01,1,0,26,Andrey,Andreev,89850743342
42241,2023-06-01 12:00:49,0,0,39,Natalia,Solovyov,89855644421
45400,2023-06-01 12:12:47,1,1,39,Dmitry,Ivanov,89851117642
54001,2023-06-01 13:13:49,1,0,19,Andrey,Kozlov,89854360280
40484,2023-06-01 13:35:50,1,0,26,Artem,Kuznetsov,89854441211
78676,2023-06-01 13:50:26,1,1,24,Kirill,Semyonov,89854315504
82824,2023-06-01 13:51:55,1,0,21,Ilya,Tarasov,89854564677
85653,2023-06-01 14:50:51,1,1,31,Ilya,Gusev,89859329626
61861,2023-06-01 16:20:35,1,1,29,Andrey,Sergeev,89856784467
98932,2023-06-01 19:08:22,0,0,42,Svetlana,Tarasov,89853114506
65308,2023-06-01 21:14:22,1,0,43,Alexander,Petrov,89852254088
81599,2023-06-02 01:02:05,0,0,44,Olga,Gusev,89853350744
74070,2023-06-02 01:46:32,0,0,34,Elena,Kuznetsov,89854914727
28008,2023-06-02 03:36:35,0,0,28,Olga,Tarasov,89853989737
79850,2023-06-02 05:53:26,0,0,30,Elena,Romanov,89857377348
18015,2023-06-02 08:27:09,1,1,27,Alexey,Pavlov,89859827791
8135,2023-06-02 09:44:09,1,0,34,Ilya,Belyaev,89855950671
47427,2023-06-02 12:04:35,0,1,28,Natalia,Sokolov,89858180777
74077,2023-06-02 12:31:13,1,1,36,Dmitry,Mikhailov,89859780123
96123,2023-06-02 15:06:22,1,0,25,Artem,Kulakov,89856324291
90381,2023-06-02 15:26:36,0,0,28,Yulia,Kulakov,89851416246
68395,2023-06-02 16:56:19,0,0,31,Anna,Novikov,89853951089
36481,2023-06-02 18:47:55,0,0,29,Elena,Borisov,89851703913
58194,2023-06-02 18:51:58,1,0,30,Maxim,Novikov,89851583094
45831,2023-06-02 19:49:30,1,0,27,Artem,Tarasov,89855491145
38963,2023-06-02 22:03:23,1,1,30,Dmitry,Smirnov,89851347303
32225,2023-06-02 22:51:40,0,1,34,Maria,Vinogradov,89859146441
71101,2023-06-02 23:35:10,0,0,24,Irina,Lebedev,89854630096
